country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Oman,34936,35829,36493,37076,37085,38098,38567,40569,41176,41093,43271,44795,43043,41579,41322,40620,38774,42549,43322,43636,42949,39387,40034,39832,37675,38837,39066,37379,37039
Pakistan,3195,3199,3306,3263,3276,3361,3386,3307,3291,3321,3358,3339,3430,3605,3748,3938,4075,4170,4155,4205,4227,4278,4360,4457,4590,4727,4891,5033,5190
Palau,11406,12346,11245,9967,10349,10758,11088,10885,10535,10365,11421,11973,12182,11990,12736,13786,13358,13772,13115,13342,13539,14510,14923,14267,15092,16045,16325,15981,16720
"Palestine, State of",1079,984,1176,1241,3641,3749,3595,3987,4584,4834,4126,3521,2958,3287,3501,3849,3650,3831,3965,4092,4287,4721,4926,4980,4957,5103,5253,5284,5314
Panama,7597,7914,8495,8974,9155,8958,9184,9465,9929,9990,10226,10030,10396,10288,10707,11200,11967,13036,14170,14004,14182,16086,17235,17914,17985,18636,19212,20066,20455
Papua New Guinea,2133,2296,2400,2784,2924,2809,2854,2746,2566,2519,2453,2350,2313,2216,2283,2439,2366,2627,2612,2728,2854,2881,2947,2833,3469,3739,3810,3765,3686
Paraguay,6484,6408,6325,6829,7403,7827,8239,8120,7939,7649,7003,6902,6928,6537,6847,6956,7459,8123,8635,8461,9275,9668,9406,10092,10477,10649,10922,11430,11720
Peru,4963,5113,4989,5112,5655,5940,6069,6363,6289,6280,6327,6322,6560,6703,6845,7127,7419,8007,8762,8847,9360,9842,10497,11163,11392,11760,11956,11987,12323
Philippines,3965,3892,3869,3879,4001,4102,4275,4468,4695,4718,4972,5042,5143,5269,5493,5674,5822,6058,6222,6407,6737,6816,7179,7637,7947,8290,8701,9133,9540
Poland,9946,9200,9314,9698,10480,11137,11891,12647,13230,13857,14667,14869,15178,15631,16078,16891,17880,18903,20031,20315,20986,22025,22356,22766,23447,24369,25042,26182,27626
Portugal,20109,21079,21421,20976,21062,22018,22608,23334,24291,25095,25510,25795,25913,25701,26041,26182,26102,26694,26526,25753,26318,26264,25180,25305,25572,25860,26559,27404,27935
Qatar,73168,70251,76947,75006,75236,76081,78027,99021,103043,103712,100344,104649,106944,107396,111551,99214,111972,110766,109401,103834,109354,114214,112528,112039,111753,114105,113965,113133,110489
Romania,11434,10077,9246,9384,9775,10385,10805,10302,10085,10058,10368,11071,11875,12083,13165,14032,15171,16494,18478,17801,17207,17608,18044,18654,19558,20157,21173,22828,23906
Russian Federation,20898,19782,16756,15338,13507,12897,12363,12471,11592,12417,13855,14823,15516,16532,17938,19086,20592,22542,23557,21688,22647,23594,24388,24675,24465,24032,24096,24472,25036
Rwanda,865,866,970,952,501,694,750,801,803,779,796,829,918,920,975,1052,1125,1187,1282,1326,1386,1455,1538,1564,1634,1731,1785,1849,1959
St. Kitts and Nevis,15163,14666,14979,15811,16475,17337,17956,18899,18373,18717,20461,21260,21424,20126,21058,23149,23874,23803,25126,24043,23640,23898,23690,25084,24854,25298,25894,26287,26770
St. Lucia,8551,8445,9113,8954,9027,9013,9234,9024,9439,9609,9464,8912,9006,9219,9684,9561,11042,11059,11411,11343,11337,11881,11626,11502,10787,10480,11142,11599,11528
St. Vincent and the Grenadines,5321,5375,5797,6045,5913,6383,6530,6700,6977,7072,7197,7390,7844,8330,8595,8828,9625,9563,10222,10157,9832,9774,10036,9994,10535,11497,11337,11333,11746
Samoa,4768,4574,4362,4561,2988,3103,3437,3438,3587,3628,3844,4113,4449,4606,4813,4942,5037,5348,5360,5142,5240,5459,5458,5303,5320,5456,5795,5876,5885
